Timestamp;Goal x;Goal y;Goal z;Goal roll;Goal pitch;Goal yaw;shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint;measurement_temperature;measurement_x;measurement_y;measurement_z;measurement_rx;measurement_ry;measurement_rz
20200714164537;0,8;0,6;0,7;1,5708;1,5708;1,50098;-2,15153;-2,04134;-1,25597;0,157601;0,5089520000000001;-0,00289566;23,6800003051758;1687,7942;-1662,1395;-615,68115;-90,34896;-55,672899;-90,950176
20200714164542;0,8;0,6;0,7;1,5708;1,5708;1,53589;-2,15584;-2,03104;-1,27078;0,158559;0,549764;0,00126883;23,6800003051758;1688,1736;-1661,7381;-615,5761200000002;-90,604085;-57,779186;-91,098999
20200714164550;0,8;0,6;0,7;1,5708;1,5708;1,6057;-2,16503;-2,01416;-1,29532;0,1664;0,627422;-0,000202958;23,6800003051758;1688,8544;-1660,7418;-615,34511;-90,767107;-61,696274;-91,332748
20200714164555;0,8;0,6;0,7;1,5708;1,5708;1,64061;-2,17056;-2,00605;-1,30736;0,170146;0,668899;0,00117296;23,6800003051758;1689,0629;-1660,0229;-615,43762;-90,890002;-63,737675;-91,365553
20200714164559;0,8;0,6;0,7;1,5708;1,5708;1,67552;-2,17577;-1,99942;-1,31777;0,176874;0,708357;-0,00266821;23,6800003051758;1689,3774;-1659,4857;-615,5299200000002;-90,746745;-65,660185;-91,344205
20200714164604;0,8;0,6;0,7;1,5708;1,5708;1,71042;-2,18142;-1,99145;-1,32838;0,17679;0,7485689999999999;-0,000466172;23,6800003051758;1689,6882;-1658,9145;-615,43165;-91,164635;-67,630649;-91,718151
20200714164626;0,8;0,6;0,6;1,0472;1,5708;1,5708;-2,2616400000000003;-1,98898;-1,5142799999999998;0,36232;1,21358;-0,00206978;23,6800003051758;1691,3348;-1651,6545;-715,39994;-147,38665;-89,31913399999998;-147,91711
20200714164636;0,8;0,6;0,6;1,22173;1,5708;1,5708;-2,2216400000000003;-2,00243;-1,49355;0,353284;0,99835;-0,000191037;23,6800003051758;1691,167;-1654,7719;-715,47132;-93,268326;-79,62734499999998;-93,778984
20200714164645;0,8;0,6;0,6;1,39626;1,5708;1,5708;-2,18758;-2,02768;-1,45622;0,34141;0,789941;4,79369e-05;23,6800003051758;1690,5128;-1657,4689;-715,89119;-91,398334;-69,60932199999999;-91,942816
20200714164654;0,8;0,6;0,6;1,5708;1,5708;1,5708;-2,16045;-2,06277;-1,40289;0,323098;0,589542;0,000826163;23,6800003051758;1689,204;-1660,312;-715,82611;-90,711798;-59,749017;-91,254932
20200714164703;0,8;0,6;0,6;1,7453299999999998;1,5708;1,5708;-2,14107;-2,10611;-1,33544;0,297496;0,39597;0,00239385;23,6800003051758;1687,7505;-1662,2358;-715,4399;-90,379351;-49,733561;-90,920427
20200714164719;0,8;0,6;0,6;1,5708;0,8726649999999999;1,5708;-2,16037;-2,06318;-1,40247;0,323194;0,58833;0,696661;23,6800003051758;1689,0536;-1660,4341;-715,77546;-90,613947;-59,77320600000001;-51,338493
20200714164725;0,8;0,6;0,6;1,5708;1,0472;1,5708;-2,16063;-2,06268;-1,40298;0,321817;0,5895779999999999;0,525381;23,6800003051758;1689,0432;-1660,3206;-715,78593;-90,730453;-59,806073;-61,279033
20200714164732;0,8;0,6;0,6;1,5708;1,22173;1,5708;-2,1604;-2,06277;-1,40279;0,322045;0,58863;0,351212;23,6800003051758;1689,1268;-1660,3797;-715,81987;-90,735783;-59,752578;-71,31415
