Timestamp;Goal x;Goal y;Goal z;Goal roll;Goal pitch;Goal yaw;shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint;measurement_temperature;measurement_x;measurement_std_x;measurement_y;measurement_std_y;measurement_z;measurement_std_z;measurement_rx;measurement_std_rx;measurement_ry;measurement_std_ry;measurement_rz;measurement_std_rz
2,02011E+13;-0,0812507;-0,492617;1,04211;3,74649;1,55857;1,4716;-4,07007;-2,65821;1,53151;-2,06028;0,223647;0,0365245;21,68000031;405,53738;0,023374;-3091,7903;0,0067357;-183,36736;0,0062311;-90,62215;0,0021148;20,355514;0,0013788;-90,371053;0,0036812
2,02011E+13;0,0956772;-0,75947;1,093;3,1145;1,53382;1,47519;-4,22677;-2,65682;1,08783;-1,61629;1,01612;0,0231213;21,68000031;157,25993;0,013952;-2902,1696;0,0033558;-133,09502;0,0085659;-92,373302;0,002552;-16,180936;0,0024169;-90,790964;0,004697
2,02011E+13;-0,249974;-0,761883;0,978222;3,22869;1,34014;1,7128;-4,87664;-2,78795;1,21706;-1,80567;1,78114;-0,0711454;21,68000031;484,99288;0,033354;-2780,0366;0,0086272;-243,66073;0,0079828;-104,42047;0,001519;-22,384284;0,0021396;-96,976021;0,0024389
2,02011E+13;-0,317463;-0,836962;0,947722;3,58889;1,90922;1,72264;-4,85147;-2,9955;1,22475;-1,06232;1,39903;0,0959539;21,68000031;517,3104;0,011705;-2686,707;0,0031766;-283,1291;0,0031323;-72,698747;0,0020152;-1,7544786;0,0017941;-80,962304;0,0052466
2,02011E+13;0,147556;-0,708406;1,07489;3,17859;1,42709;1,47734;-4,07617;-2,64343;1,15337;-1,84973;0,812959;0,130922;21,68000031;125,58558;0,013709;-2967,8942;0,0043278;-149,63384;0,012818;-98,587887;0,0017204;-12,370907;0,0017282;-92,433353;0,0050008
2,02011E+13;0,0675908;-0,777794;0,776195;3,55923;1,30933;1,67324;-4,22169;-3,11057;1,65542;-2,02861;0,781137;0,138606;21,68000031;174,76545;0,018104;-2875,8072;0,0029686;-446,30477;0,0041653;-103,73109;0,0013024;-1,1848404;0,00077073;-96,723486;0,0025841
2,02011E+13;-0,268718;-0,527464;0,737265;3,78747;1,2584;1,57832;-4,67094;-3,06;1,99863;-2,40088;0,891888;0,0126857;21,68000031;572,1978;0,024242;-2994,1679;0,013073;-484,09026;0,009111;-104,89319;0,0017768;17,399498;0,0017656;-96,636975;0,0031239
2,02011E+13;-0,259031;-0,779969;1,0989;3,55976;1,6801;1,73395;-4,78656;-2,68953;1,01099;-1,36198;1,38755;0,0251912;21,68000031;482,04918;0,010001;-2760,9713;0,032312;-128,66258;0,031167;-84,438969;0,0043818;-5,3113703;0,0018429;-87,09343;0,003563
2,02011E+13;0,111567;-0,520133;0,74674;2,9338;1,58491;1,42357;-3,898;-3,10065;2,11847;-2,14033;0,816293;-0,0167416;21,68000031;228,08239;0,0089659;-3131,983;0,0091798;-479,68373;0,015729;-89,257288;0,0019552;-23,50624;0,0019226;-90,088599;0,0019793
2,02011E+13;-0,344075;-0,797672;0,93071;3,65089;1,62198;1,66001;-4,86719;-2,96305;1,30401;-1,4365;1,30444;0,0119554;21,68000031;554,02475;0,017497;-2715,1861;0,020168;-296,02453;0,023992;-87,547829;0,0047109;4,0352849;0,0012575;-88,904589;0,0046126
